product_code,name,vendor_code,color,purchase_price,cup_type,price,photo,sizes,stock
K47,"Гольфи жіночі Gatta, чорні, сірі",---,,20,,45,,"1, 2, 3",5
K48,"Дитячі колготки Bravo, нар. 116-122, 150-152",---,,62.4,,95,,"150-152, 150-152",4
K50,"Легінси дитячі Viva з декором, р.116-122, 128-134",---,,36.48,,80,,116-122,3
K51,"Дитячі легінси Gatta, р.92-98, 128-134, 140-146, 152-158",---,,16.58,,40,,"92-98 фиол., 128-134 роз., 152-158 сирен.",5
K52,"Колготки Elizabeth 40DEN Classic, Чорний, р.4, 5, 6",#EL40CL,чорний,14.6,,35,,"4, 5",4
K53,"Колготки Elizabeth 40DEN Classic, Бежевий, р.4, 5, 6",#EL40CL,бежевий,14.6,,35,,"4, 4, 6",5
K54,"Колготки Elizabeth 40DEN T-BAND, Чорний, р.5",#EL40TB,чорний,15.6,,35,,5,3
K55,"Колготки Elizabeth 40DEN T-BAND, Бежевий, р.2, 3, 4, 5",#EL40TB,бежевий,15.6,,35,,"2, 4, 4, 5, 5, 5",8
K56,"Колготки Elizabeth 40DEN BIKINI CHARM, Бежевий, нар. 2, 3, 4",#EL40BC,бежевий,16.6,,35,,"3, 3, 4, 4, 4",7
K57,"Колготки Elizabeth 40DEN HIPSTER WAIST, Бежевий, р.2, 3, 4",#EL40HW,бежевий,16.6,,35,,"2, 2, 3, 4",6
K58,"Колготки Руслана 30DEN, Чорний, 52-56 розмір",#K305,чорний,10.4,,23,,"5, 5",4
K60,"Колготки Elizabeth 80DEN MICROFIBRE, Бежевий, р.4, 5",#EL80MF,бежевий,26.5,,48,,"5, 5, 5",5
K61,Гамаші під джинс на хутрі р.46-50,#A428,джинс,85.8,,190,,1,3
K64,Модні джегінси р.46-54,#A421,джинс,61.9,,170,,"1, 1, 1",5
